id,0
Bolívar venezolano,1923.3214285714
Corona checa,1.3380292188432
Corona danesa,0.40144766562055
Corona noruega,0.6108621921755
Corona sueca,0.60804127901725
Dinar kuwait,0.018003058845161
Dirham emiratos,0.21504041017122
Dólar,0.058548979445398
Dólar australiano,0.089101588352085
Dólar canadiense,0.078372218923544
Dólar hong kong,0.45784023668639
Dólar neozelandés,0.095298345953541
Dólar singapur,0.078253780965556
Euro,0.053853
Florín húngaro,20.609644087256
Franco suizo,0.05023408619633
Libra,0.045941818802252
Lira turca,1.7758029413704
Litas lituano,0.17178264406131
Peso argentino,48.428956834532
Peso chileno,54.562310030395
Peso colombiano,228.1906779661
Peso uruguayo,2.2939597887204
Rand sudafricano,1.0892376772314
Real brasileño,0.28785465352462
Rial saudí,0.2195536602469
Ringgit malasio,0.27681513274564
Rublo ruso,5.2937186670599
Rupia india,4.8555585609954
Shekel israeli,0.21584109209108
Yen,8.57258834766
Yuan,0.420522871734
Zloty polaco,0.23248374647085
